file,line,family,rule,bucket
esphome/analyze_memory/const.py,108,freertos,semaphore,python
esphome/analyze_memory/const.py,1107,arduino,ipaddress,python
esphome/analyze_memory/const.py,1167,arduino,ipaddress,python
esphome/components/a01nyub/a01nyub.cpp,29,esp-idf,log,component-local
esphome/components/a01nyub/a01nyub.cpp,33,esp-idf,log,component-local
esphome/components/a01nyub/a01nyub.cpp,37,esp-idf,log,component-local
esphome/components/a02yyuw/a02yyuw.cpp,28,esp-idf,log,component-local
esphome/components/a02yyuw/a02yyuw.cpp,32,esp-idf,log,component-local
esphome/components/a02yyuw/a02yyuw.cpp,36,esp-idf,log,component-local
esphome/components/absolute_humidity/absolute_humidity.cpp,13,esp-idf,log,component-local
esphome/components/absolute_humidity/absolute_humidity.cpp,23,esp-idf,log,component-local
esphome/components/absolute_humidity/absolute_humidity.cpp,44,esp-idf,log,component-local
esphome/components/absolute_humidity/absolute_humidity.cpp,64,esp-idf,log,component-local
esphome/components/absolute_humidity/absolute_humidity.cpp,67,esp-idf,log,component-local
esphome/components/absolute_humidity/absolute_humidity.cpp,100,esp-idf,log,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,40,esp-idf,iram-attr,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,78,esp-idf,iram-attr,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,96,esp-idf,iram-attr,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,145,esp-idf,iram-attr,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,163,esp-idf,iram-attr,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,205,esp-idf,log,component-local
esphome/components/ac_dimmer/ac_dimmer.cpp,249,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,5,freertos,include,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,8,esp-idf,include,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,9,esp-idf,include,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,10,esp-idf,include,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,35,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,51,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,65,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,66,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,72,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,73,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,80,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,81,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,92,esp-idf,iram-attr,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,107,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,121,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,122,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,123,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,137,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,145,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,146,esp-idf,err-type,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.cpp,147,esp-idf,log,component-local
esphome/components/ac_dimmer/hw_timer_esp_idf.h,4,esp-idf,include,component-local
esphome/components/adalight/adalight_light_effect.cpp,53,esp-idf,log,component-local
esphome/components/adalight/adalight_light_effect.cpp,59,esp-idf,log,component-local
esphome/components/adalight/adalight_light_effect.cpp,66,esp-idf,log,component-local
esphome/components/adalight/adalight_light_effect.cpp,72,esp-idf,log,component-local
esphome/components/adalight/adalight_light_effect.cpp,84,esp-idf,log,component-local
esphome/components/adalight/adalight_light_effect.cpp,92,esp-idf,log,component-local
esphome/components/adc/adc_sensor.h,10,esp-idf,include,component-local
esphome/components/adc/adc_sensor.h,11,esp-idf,include,component-local
esphome/components/adc/adc_sensor.h,12,esp-idf,include,component-local
esphome/components/adc/adc_sensor.h,13,esp-idf,include,component-local
esphome/components/adc/adc_sensor_common.cpp,69,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,50,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,50,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,51,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,52,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,65,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,65,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,66,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,67,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,86,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,87,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,90,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,92,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,104,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,105,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,108,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,110,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,115,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,165,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,165,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,167,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,168,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,173,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,188,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,188,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,189,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,192,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,195,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,197,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,216,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,216,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,218,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,219,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,227,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,229,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,246,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,248,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,258,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,260,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,264,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,266,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,268,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,269,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,272,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,274,esp-idf,adc,component-local
